rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
40,Mam-Mam Burger,90402,"Vordere Sterngasse 26, 90402 Nürnberg",4.7,1383,51–100,51,100,75.5,5.18,4.508,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Mam-Mam+Burger/data=!4m7!3m6!1s0x479f57a7a1c11da5:0x2836dceab404b842!8m2!3d49.4474335!4d11.0779057!16s%2Fg%2F11c2nt2s_d!19sChIJpR3BoadXn0cRQrgEtOrcNig?authuser=0&hl=de&rclk=1
41,KRiSTALL DÖNER NÜRNBERG,90443,"Gibitzenhofstraße 43, 90443 Nürnberg",4.6,1331,51–100,51,100,75.5,5.37,4.407,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/KRiSTALL+D%C3%96NER+N%C3%9CRNBERG/data=!4m7!3m6!1s0x479f5704f79a6227:0xe6de1503abc56a79!8m2!3d49.4393397!4d11.0673051!16s%2Fg%2F12qfnpr1c!19sChIJJ2Ka9wRXn0cReWrFqwMV3uY?authuser=0&hl=de&rclk=1
42,akropolis • hotel • restaurant,90449,"Herriedener Str. 38, 90449 Nürnberg",4.6,1081,51–100,51,100,75.5,6.53,4.365,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/akropolis+%E2%80%A2+hotel+%E2%80%A2+restaurant/data=!4m10!3m9!1s0x479f56c8028963bb:0x53acb480a74a5167!5m2!4m1!1i2!8m2!3d49.42!4d11.0236111!16s%2Fg%2F1tf7lkf4!19sChIJu2OJAshWn0cRZ1FKp4C0rFM?authuser=0&hl=de&rclk=1
43,Thai Food 2 Brettergarten,90427,"Brettergartenstraße 97, 90427 Nürnberg",4.6,1071,51–100,51,100,75.5,6.59,4.363,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Thai+Food+2+Brettergarten/data=!4m7!3m6!1s0x410c9f65d8565bf1:0xf6ac6e2ef3ba3dea!8m2!3d49.4717077!4d11.0218483!16s%2Fg%2F1tfxx04p!19sChIJ8VtW2GWfDEER6j268y5urPY?authuser=0&hl=de&rclk=1
44,CôCô taste of Asia Sushi Nürnberg,90402,"Schlotfegergasse 2, 90402 Nürnberg",4.8,1063,51–100,51,100,75.5,6.63,4.548,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/C%C3%B4C%C3%B4+taste+of+Asia+Sushi+N%C3%BCrnberg/data=!4m7!3m6!1s0x479f57abe1afa5a7:0xf87bcbdf62527dbf!8m2!3d49.4510596!4d11.0692968!16s%2Fg%2F11b87w913h!19sChIJp6Wv4atXn0cRv31SYt_Le_g?authuser=0&hl=de&rclk=1
45,Lamore da Massimo - italienisches Restaurant in Nürnberg,90402,"Jakobspl. 11, 90402 Nürnberg",4.8,1011,51–100,51,100,75.5,6.95,4.536,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Lamore+da+Massimo+-+italienisches+Restaurant+in+N%C3%BCrnberg/data=!4m7!3m6!1s0x47a2012a884b854d:0x63b30ab500a2a8a6!8m2!3d49.4496472!4d11.0705412!16s%2Fg%2F11g2nbl20b!19sChIJTYVLiCoBokcRpqiiALUKs2M?authuser=0&hl=de&rclk=1
46,Grillmeister,90489,"Sulzbacher Str. 91, 90489 Nürnberg",4.8,944,51–100,51,100,75.5,7.41,4.519,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Grillmeister/data=!4m7!3m6!1s0x479f577ed7050a1d:0xc95ed3d5f04ffa7!8m2!3d49.4597019!4d11.1002423!16s%2Fg%2F11gldk4j6q!19sChIJHQoF135Xn0cRp_8EXz3tlQw?authuser=0&hl=de&rclk=1
47,Maguro Running Sushi,90765,"Hans-Vogel-Straße 59, 90765 Fürth",4.7,896,51–100,51,100,75.5,7.77,4.412,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Maguro+Running+Sushi/data=!4m7!3m6!1s0x479f55e26cf56c7d:0x204c53cf391691cf!8m2!3d49.4807313!4d11.0091376!16s%2Fg%2F11f9vx2ptd!19sChIJfWz1bOJVn0cRz5EWOc9TTCA?authuser=0&hl=de&rclk=1
48,MAHARAJA PALACE,90478,"Regensburger Str. 41, 90478 Nürnberg",4.5,776,51–100,51,100,75.5,8.87,4.19,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/MAHARAJA+PALACE/data=!4m7!3m6!1s0x479f579d9b724baf:0xf8ab04b932bd21ae!8m2!3d49.445046!4d11.097283!16s%2Fg%2F1tmxdkbk!19sChIJr0tym51Xn0cRriG9MrkEq_g?authuser=0&hl=de&rclk=1
49,Espressolab,90402,"Lorenzer Pl. 3, 90402 Nürnberg",4.5,717,51–100,51,100,75.5,9.53,4.167,51 bis 100 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Espressolab/data=!4m7!3m6!1s0x479f57dec70cfeff:0xaa68dfa8d6a41606!8m2!3d49.4513259!4d11.0786157!16s%2Fg%2F11k7s5syqf!19sChIJ__4Mx95Xn0cRBhak1qjfaKo?authuser=0&hl=de&rclk=1
